engine_id,health_index,predicted_rul,true_rul,error,alert_level
124,5.1,6.4,7,-0.5999999999999996,CRITICAL
65,5.4,6.7,11,-4.3,CRITICAL
245,5.4,6.7,16,-9.3,CRITICAL
9,5.4,6.7,11,-4.3,CRITICAL
161,5.5,6.9,13,-6.1,CRITICAL
14,5.5,6.8,11,-4.2,CRITICAL
181,5.5,6.9,68,-61.1,CRITICAL
11,5.5,6.9,6,0.9000000000000004,CRITICAL
225,5.7,7.1,11,-3.9000000000000004,CRITICAL
102,5.7,7.2,8,-0.7999999999999998,CRITICAL
150,5.8,7.3,34,-26.7,CRITICAL
7,5.9,7.4,6,1.4000000000000004,CRITICAL
206,6.1,7.7,48,-40.3,CRITICAL
160,6.1,7.6,42,-34.4,CRITICAL
32,6.2,7.7,11,-3.3,CRITICAL
186,6.3,7.8,10,-2.2,CRITICAL
208,6.5,8.2,8,0.1999999999999993,CRITICAL
116,6.5,8.1,7,1.0999999999999996,CRITICAL
227,6.6,8.3,14,-5.699999999999999,CRITICAL
111,6.7,8.4,9,-0.5999999999999996,CRITICAL
50,6.8,8.5,13,-4.5,CRITICAL
132,6.8,8.4,39,-30.6,CRITICAL
91,7.0,8.8,9,-0.1999999999999993,CRITICAL
30,7.1,8.8,78,-69.2,CRITICAL
176,7.2,9.0,23,-14.0,CRITICAL
80,7.3,9.2,15,-5.800000000000001,CRITICAL
99,7.3,9.1,9,0.09999999999999964,CRITICAL
146,7.7,9.7,10,-0.3000000000000007,CRITICAL
118,7.7,9.6,125,-115.4,CRITICAL
211,7.8,9.8,6,3.8000000000000007,CRITICAL
242,7.8,9.7,17,-7.300000000000001,CRITICAL
40,7.9,9.8,37,-27.2,CRITICAL
78,7.9,9.9,52,-42.1,CRITICAL
137,8.0,9.9,88,-78.1,CRITICAL
39,8.1,10.1,48,-37.9,CRITICAL
209,8.2,10.2,23,-12.8,CRITICAL
77,8.3,10.3,94,-83.7,CRITICAL
127,8.3,10.4,82,-71.6,CRITICAL
72,8.5,10.6,104,-93.4,CRITICAL
229,8.7,10.9,61,-50.1,CRITICAL
24,8.7,10.8,77,-66.2,CRITICAL
131,8.8,11.0,120,-109.0,CRITICAL
234,8.8,11.0,89,-78.0,CRITICAL
164,8.9,11.2,14,-2.8000000000000007,CRITICAL
215,9.0,11.3,101,-89.7,CRITICAL
202,9.1,11.4,68,-56.6,CRITICAL
13,9.2,11.5,30,-18.5,CRITICAL
173,9.2,11.5,14,-2.5,CRITICAL
144,9.2,11.5,43,-31.5,CRITICAL
33,9.3,11.6,53,-41.4,CRITICAL
180,9.3,11.7,97,-85.3,CRITICAL
88,9.3,11.6,79,-67.4,CRITICAL
130,9.5,11.9,121,-109.1,CRITICAL
19,9.5,11.9,22,-10.1,CRITICAL
149,9.6,12.0,125,-113.0,CRITICAL
239,9.7,12.2,101,-88.8,CRITICAL
230,9.8,12.2,85,-72.8,CRITICAL
58,9.8,12.3,26,-13.7,CRITICAL
75,10.0,12.5,98,-85.5,CRITICAL
169,10.2,12.8,125,-112.2,CRITICAL
178,10.3,12.8,125,-112.2,CRITICAL
3,10.4,13.0,106,-93.0,CRITICAL
108,10.6,13.3,125,-111.7,CRITICAL
251,10.8,13.5,84,-70.5,CRITICAL
97,11.2,14.0,31,-17.0,CRITICAL
188,11.3,14.1,125,-110.9,CRITICAL
59,11.6,14.5,125,-110.5,CRITICAL
68,11.6,14.4,56,-41.6,CRITICAL
151,11.7,14.6,115,-100.4,CRITICAL
257,12.2,15.2,56,-40.8,CRITICAL
48,12.3,15.4,13,2.4000000000000004,CRITICAL
194,12.3,15.4,122,-106.6,CRITICAL
213,12.5,15.6,83,-67.4,CRITICAL
106,12.5,15.6,120,-104.4,CRITICAL
15,12.6,15.7,37,-21.3,CRITICAL
166,12.8,16.0,125,-109.0,CRITICAL
84,13.3,16.6,17,-0.3999999999999986,CRITICAL
179,13.5,16.9,35,-18.1,CRITICAL
89,13.6,17.0,97,-80.0,CRITICAL
182,13.8,17.3,14,3.3000000000000007,CRITICAL
139,13.9,17.4,51,-33.6,CRITICAL
62,14.1,17.6,39,-21.4,CRITICAL
76,14.3,17.9,36,-18.1,CRITICAL
243,14.7,18.4,125,-106.6,CRITICAL
122,14.9,18.6,125,-106.4,CRITICAL
38,15.4,19.2,55,-35.8,CRITICAL
41,16.8,21.0,44,-23.0,WARNING
247,19.4,24.2,125,-100.8,WARNING
171,20.0,25.1,36,-10.899999999999999,WARNING
120,20.3,25.4,15,10.399999999999999,WARNING
55,20.5,25.6,103,-77.4,WARNING
193,20.8,25.9,37,-11.100000000000001,WARNING
141,21.4,26.7,125,-98.3,WARNING
87,21.6,27.0,21,6.0,WARNING
254,22.3,27.8,48,-20.2,WARNING
42,23.0,28.8,27,1.8000000000000007,WARNING
133,24.3,30.3,38,-7.699999999999999,WARNING
142,24.7,30.8,47,-16.2,WARNING
114,25.9,32.3,78,-45.7,WARNING
221,26.6,33.2,125,-91.8,WARNING
200,27.2,34.1,125,-90.9,WARNING
85,27.2,34.0,47,-13.0,WARNING
23,27.4,34.3,125,-90.7,WARNING
96,27.7,34.7,49,-14.299999999999997,WARNING
8,28.7,35.9,90,-54.1,WARNING
219,29.3,36.6,73,-36.4,WARNING
53,30.8,38.5,52,-13.5,WARNING
92,31.0,38.7,73,-34.3,WARNING
104,31.3,39.2,106,-66.8,WARNING
21,31.6,39.4,97,-57.6,WARNING
140,31.7,39.6,55,-15.399999999999999,WARNING
189,32.4,40.4,43,-2.6000000000000014,WARNING
162,32.8,41.0,41,0.0,WARNING
109,32.9,41.2,35,6.200000000000003,WARNING
233,33.3,41.7,125,-83.3,WARNING
191,35.5,44.4,125,-80.6,WARNING
36,36.0,45.0,100,-55.0,WARNING
83,36.4,45.5,125,-79.5,WARNING
183,36.4,45.5,67,-21.5,WARNING
25,38.6,48.3,88,-39.7,WARNING
195,40.2,50.3,80,-29.700000000000003,HEALTHY
238,41.4,51.7,125,-73.3,HEALTHY
153,41.4,51.7,99,-47.3,HEALTHY
256,41.5,51.9,125,-73.1,HEALTHY
163,41.6,52.1,88,-35.9,HEALTHY
16,43.3,54.1,67,-12.899999999999999,HEALTHY
246,44.4,55.5,125,-69.5,HEALTHY
110,45.9,57.4,80,-22.6,HEALTHY
113,47.3,59.1,125,-65.9,HEALTHY
214,47.9,59.9,125,-65.1,HEALTHY
248,48.1,60.1,56,4.100000000000001,HEALTHY
168,48.8,61.0,82,-21.0,HEALTHY
73,49.6,62.0,78,-16.0,HEALTHY
95,50.2,62.8,73,-10.200000000000003,HEALTHY
2,51.1,63.9,79,-15.100000000000001,HEALTHY
17,51.9,64.8,68,-3.200000000000003,HEALTHY
26,52.0,65.0,125,-60.0,HEALTHY
18,53.5,66.9,99,-32.099999999999994,HEALTHY
212,54.5,68.1,57,11.099999999999994,HEALTHY
101,56.7,70.9,106,-35.099999999999994,HEALTHY
259,57.2,71.5,51,20.5,HEALTHY
129,57.6,72.0,79,-7.0,HEALTHY
94,59.2,74.0,97,-23.0,HEALTHY
228,59.7,74.6,125,-50.400000000000006,HEALTHY
196,60.2,75.2,93,-17.799999999999997,HEALTHY
174,60.2,75.2,95,-19.799999999999997,HEALTHY
172,60.8,76.0,107,-31.0,HEALTHY
217,62.3,77.9,86,-8.099999999999994,HEALTHY
98,63.2,79.0,97,-18.0,HEALTHY
235,63.4,79.2,125,-45.8,HEALTHY
205,64.3,80.4,125,-44.599999999999994,HEALTHY
35,65.5,81.9,63,18.900000000000006,HEALTHY
207,66.2,82.7,85,-2.299999999999997,HEALTHY
67,66.4,83.0,86,-3.0,HEALTHY
165,66.7,83.4,125,-41.599999999999994,HEALTHY
121,67.7,84.6,67,17.599999999999994,HEALTHY
199,71.3,89.1,103,-13.900000000000006,HEALTHY
86,71.5,89.4,125,-35.599999999999994,HEALTHY
54,71.7,89.6,106,-16.400000000000006,HEALTHY
31,72.6,90.8,75,15.799999999999997,HEALTHY
147,72.7,90.9,92,-1.0999999999999943,HEALTHY
152,74.4,93.0,59,34.0,HEALTHY
216,75.0,93.7,81,12.700000000000003,HEALTHY
244,75.9,94.9,125,-30.099999999999994,HEALTHY
119,76.0,95.0,106,-11.0,HEALTHY
28,76.8,96.0,125,-29.0,HEALTHY
226,77.7,97.1,108,-10.900000000000006,HEALTHY
61,77.9,97.4,125,-27.599999999999994,HEALTHY
255,79.4,99.2,122,-22.799999999999997,HEALTHY
224,79.6,99.5,125,-25.5,HEALTHY
157,79.9,99.8,125,-25.200000000000003,HEALTHY
12,80.0,99.9,73,26.900000000000006,HEALTHY
47,80.2,100.2,125,-24.799999999999997,HEALTHY
66,80.3,100.3,121,-20.700000000000003,HEALTHY
170,81.3,101.6,125,-23.400000000000006,HEALTHY
82,81.8,102.2,74,28.200000000000003,HEALTHY
167,81.8,102.2,96,6.200000000000003,HEALTHY
220,82.3,102.9,121,-18.099999999999994,HEALTHY
29,82.4,103.0,83,20.0,HEALTHY
197,82.8,103.5,125,-21.5,HEALTHY
258,83.2,104.0,125,-21.0,HEALTHY
201,83.3,104.2,111,-6.799999999999997,HEALTHY
145,83.6,104.5,98,6.5,HEALTHY
156,83.7,104.6,83,21.599999999999994,HEALTHY
187,84.1,105.1,125,-19.900000000000006,HEALTHY
249,85.0,106.2,111,-4.799999999999997,HEALTHY
37,85.2,106.5,125,-18.5,HEALTHY
46,85.5,106.9,112,-5.099999999999994,HEALTHY
27,86.5,108.1,125,-16.900000000000006,HEALTHY
135,88.9,111.1,125,-13.900000000000006,HEALTHY
34,91.4,114.3,125,-10.700000000000003,HEALTHY
155,92.0,115.0,108,7.0,HEALTHY
81,92.3,115.3,125,-9.700000000000003,HEALTHY
203,93.0,116.2,125,-8.799999999999997,HEALTHY
175,94.1,117.6,125,-7.400000000000006,HEALTHY
126,95.6,119.5,124,-4.5,HEALTHY
56,95.7,119.6,125,-5.400000000000006,HEALTHY
51,95.9,119.9,98,21.900000000000006,HEALTHY
184,96.7,120.8,125,-4.200000000000003,HEALTHY
223,97.1,121.4,125,-3.5999999999999943,HEALTHY
241,97.3,121.7,125,-3.299999999999997,HEALTHY
218,97.6,122.0,125,-3.0,HEALTHY
